match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
CSK Vs PBKS,CSK,1,Ajinkya Rahane,29,24,5,0,120.83,out,T20I #49
CSK Vs PBKS,CSK,2,Ruturaj Gaikwad(c),62,48,5,2,129.16,out,T20I #49
CSK Vs PBKS,CSK,3,Shivam Dube,0,1,0,0,0.00,out,T20I #49
CSK Vs PBKS,CSK,4,Ravindra Jadeja,2,4,0,0,50.00,out,T20I #49
CSK Vs PBKS,CSK,5,Sameer Rizvi,21,23,1,0,91.30,out,T20I #49
CSK Vs PBKS,CSK,6,Moeen Ali,15,9,1,1,166.66,out,T20I #49
CSK Vs PBKS,CSK,7,MS Dhoni,14,11,1,1,127.27,out,T20I #49
CSK Vs PBKS,CSK,8,Daryl Mitchell,1,1,0,0,100.00,not_out,T20I #49
CSK Vs PBKS,PBKS,1,Prabhsimran Singh,13,10,1,1,130.00,out,T20I #49
CSK Vs PBKS,PBKS,2,Jonny Bairstow,46,30,7,1,153.33,out,T20I #49
CSK Vs PBKS,PBKS,3,Rilee Rossouw,43,23,5,2,186.95,out,T20I #49
CSK Vs PBKS,PBKS,4,Shashank Singh,25,26,1,1,96.15,not_out,T20I #49
CSK Vs PBKS,PBKS,5,Sam Curran(c),26,20,3,0,130.00,not_out,T20I #49
MI Vs RR,MI,1,Rohit Sharma,6,5,1,0,120.00,out,T20I #14
MI Vs RR,MI,2,Ishan Kishan,0,3,0,0,0.00,out,T20I #14
MI Vs RR,MI,3,Suryakumar Yadav,10,8,2,0,125.00,out,T20I #14
MI Vs RR,MI,4,Tilak Varma,65,45,5,3,144.44,out,T20I #14
MI Vs RR,MI,5,Mohammad Nabi,23,17,2,1,135.29,out,T20I #14
MI Vs RR,MI,6,Nehal Wadhera,49,24,3,4,204.16,out,T20I #14
MI Vs RR,MI,7,Hardik Pandya(c),10,10,1,0,100.00,out,T20I #14
MI Vs RR,MI,8,Tim David,3,5,0,0,60.00,out,T20I #14
MI Vs RR,MI,9,Gerald Coetzee,0,1,0,0,0.00,out,T20I #14
MI Vs RR,MI,10,Piyush Chawla,1,1,0,0,100.00,not_out,T20I #14
MI Vs RR,MI,11,Jasprit Bumrah,2,1,0,0,200.00,not_out,T20I #14
MI Vs RR,RR,1,Yashasvi Jaiswal,104,60,9,7,173.33,not_out,T20I #14
MI Vs RR,RR,2,Jos Buttler,35,25,6,0,140.00,out,T20I #14
MI Vs RR,RR,3,Sanju Samson(c),38,28,2,2,135.71,not_out,T20I #14
CSK Vs PBKS,CSK,1,Ajinkya Rahane,9,7,1,0,128.57,out,T20I #49
CSK Vs PBKS,CSK,2,Ruturaj Gaikwad(c),32,21,4,1,152.38,out,T20I #49
CSK Vs PBKS,CSK,3,Daryl Mitchell,30,19,2,1,157.89,out,T20I #49
CSK Vs PBKS,CSK,4,Shivam Dube,0,1,0,0,0.00,out,T20I #49
CSK Vs PBKS,CSK,5,Moeen Ali,17,20,2,0,85.00,out,T20I #49
CSK Vs PBKS,CSK,6,Ravindra Jadeja,43,26,3,2,165.38,out,T20I #49
CSK Vs PBKS,CSK,7,Mitchell Santner,11,11,1,0,100.00,out,T20I #49
CSK Vs PBKS,CSK,8,Shardul Thakur,17,11,2,1,154.54,out,T20I #49
CSK Vs PBKS,CSK,9,MS Dhoni,0,1,0,0,0.00,out,T20I #49
