match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
MI Vs RR,RR,Trent Boult,4,0,22,3,5.50,14,1,1,1,0,T20I #14
MI Vs RR,RR,Nandre Burger,4,0,32,2,8.00,15,5,1,1,0,T20I #14
MI Vs RR,RR,Avesh Khan,4,0,30,1,7.50,10,2,1,1,0,T20I #14
MI Vs RR,RR,Yuzvendra Chahal,4,0,11,3,2.75,16,1,0,0,0,T20I #14
MI Vs RR,RR,Ravichandran Ashwin,4,0,27,0,6.75,6,1,0,1,0,T20I #14
MI Vs RR,MI,Kwena Maphaka,2,0,23,1,11.50,5,5,0,0,0,T20I #14
MI Vs RR,MI,Jasprit Bumrah,4,0,26,0,6.50,16,3,0,5,0,T20I #14
MI Vs RR,MI,Akash Madhwal,4,0,20,3,5.00,9,1,0,1,0,T20I #14
MI Vs RR,MI,Gerald Coetzee,2.3,0,36,0,14.40,5,5,2,0,0,T20I #14
MI Vs RR,MI,Piyush Chawla,3,0,18,0,6.00,6,0,1,0,0,T20I #14
KKR Vs SRH,SRH,Bhuvneshwar Kumar,4,0,51,0,12.75,7,4,3,2,1,T20I #3
KKR Vs SRH,SRH,Marco Jansen,3,0,40,0,13.33,5,1,4,1,0,T20I #3
KKR Vs SRH,SRH,T Natarajan,4,0,32,3,8.00,9,3,1,3,0,T20I #3
KKR Vs SRH,SRH,Pat Cummins,4,0,32,1,8.00,8,3,1,0,0,T20I #3
KKR Vs SRH,SRH,Mayank Markande,4,0,39,2,9.75,10,1,4,0,0,T20I #3
KKR Vs SRH,SRH,Shahbaz Ahmed,1,0,14,0,14.00,2,1,1,0,1,T20I #3
KKR Vs SRH,KKR,Mitchell Starc,4,0,53,0,13.25,8,3,4,2,0,T20I #3
KKR Vs SRH,KKR,Harshit Rana,4,0,33,3,8.25,12,3,2,0,0,T20I #3
KKR Vs SRH,KKR,Varun Chakravarthy,4,0,55,1,13.75,8,1,7,0,0,T20I #3
KKR Vs SRH,KKR,Sunil Narine,4,0,19,1,4.75,8,0,0,0,0,T20I #3
KKR Vs SRH,KKR,Andre Russell,2,0,25,2,12.50,4,4,1,0,0,T20I #3
KKR Vs SRH,KKR,Suyash Sharma,2,0,18,0,9.00,3,1,1,0,0,T20I #3
SRH Vs RR,RR,Trent Boult,4,0,33,0,8.25,8,5,0,1,0,T20I #50
SRH Vs RR,RR,Ravichandran Ashwin,4,0,36,0,9.00,10,0,4,1,0,T20I #50
SRH Vs RR,RR,Avesh Khan,4,0,39,2,9.75,12,3,3,3,0,T20I #50
SRH Vs RR,RR,Sandeep Sharma,4,0,31,1,7.75,10,1,2,2,0,T20I #50
SRH Vs RR,RR,Yuzvendra Chahal,4,0,62,0,15.50,6,4,6,1,0,T20I #50
SRH Vs RR,SRH,Bhuvneshwar Kumar,4,0,41,3,10.25,8,4,2,0,0,T20I #50
SRH Vs RR,SRH,Marco Jansen,4,0,44,0,11.00,10,7,0,3,2,T20I #50
SRH Vs RR,SRH,Pat Cummins,4,0,34,2,8.50,12,2,3,0,0,T20I #50
SRH Vs RR,SRH,T Natarajan,4,0,35,2,8.75,8,2,2,3,0,T20I #50
SRH Vs RR,SRH,Jaydev Unadkat,2,0,23,0,11.50,2,1,1,2,0,T20I #50
SRH Vs RR,SRH,Nitish Kumar Reddy,1,0,12,0,12.00,1,1,0,2,0,T20I #50
SRH Vs RR,SRH,Shahbaz Ahmed,1,0,11,0,11.00,2,2,0,0,0,T20I #50
CSK Vs PBKS,PBKS,Kagiso Rabada,3,0,24,0,8.00,7,3,0,1,0,T20I #49
CSK Vs PBKS,PBKS,Arshdeep Singh,4,0,42,2,10.50,7,4,2,1,0,T20I #49
CSK Vs PBKS,PBKS,Sam Curran,4,0,34,1,8.50,3,2,1,0,0,T20I #49
CSK Vs PBKS,PBKS,Harpreet Brar,1,0,19,0,19.00,1,3,1,0,0,T20I #49
CSK Vs PBKS,PBKS,Rahul Chahar,4,0,23,3,5.75,10,1,1,1,0,T20I #49
CSK Vs PBKS,PBKS,Harshal Patel,4,0,24,3,6.00,10,2,0,2,0,T20I #49
CSK Vs PBKS,CSK,Mitchell Santner,3,0,10,1,3.33,11,1,0,0,0,T20I #49
CSK Vs PBKS,CSK,Tushar Deshpande,4,0,35,2,8.75,11,5,1,1,0,T20I #49
CSK Vs PBKS,CSK,Richard Gleeson,4,0,41,0,10.25,10,3,3,2,0,T20I #49
CSK Vs PBKS,CSK,Ravindra Jadeja,4,0,20,3,5.00,9,1,0,0,0,T20I #49
CSK Vs PBKS,CSK,Simarjeet Singh,3,0,16,2,5.33,11,1,1,0,0,T20I #49
CSK Vs PBKS,CSK,Shardul Thakur,2,0,12,1,6.00,4,1,0,1,0,T20I #49
CSK Vs MI,MI,Mohammad Nabi,3,0,19,0,6.33,7,1,1,0,0,T20I #29
CSK Vs MI,MI,Gerald Coetzee,4,0,35,1,8.75,13,4,2,1,0,T20I #29
CSK Vs MI,MI,Jasprit Bumrah,4,0,27,0,6.75,8,2,0,2,0,T20I #29
CSK Vs MI,MI,Akash Madhwal,3,0,37,0,12.33,4,4,2,0,0,T20I #29
CSK Vs MI,MI,Shreyas Gopal,1,0,9,1,9.00,2,0,1,0,0,T20I #29
CSK Vs MI,MI,Hardik Pandya,3,0,43,2,14.33,6,4,3,2,0,T20I #29
CSK Vs MI,MI,Romario Shepherd,2,0,33,0,16.50,2,4,2,0,0,T20I #29
CSK Vs MI,CSK,Tushar Deshpande,4,0,29,1,7.25,9,3,1,0,0,T20I #29
CSK Vs MI,CSK,Mustafizur Rahman,4,0,55,1,13.75,5,4,4,3,0,T20I #29
CSK Vs MI,CSK,Shardul Thakur,4,0,35,0,8.75,9,3,2,0,0,T20I #29
CSK Vs MI,CSK,Ravindra Jadeja,4,0,37,0,9.25,8,5,1,0,0,T20I #29
CSK Vs MI,CSK,Matheesha Pathirana,4,0,28,4,7.00,12,4,0,1,0,T20I #29
DC Vs MI,MI,Luke Wood,4,0,68,1,17.00,5,9,4,0,0,T20I #20
DC Vs MI,MI,Jasprit Bumrah,4,0,35,1,8.75,10,2,2,2,1,T20I #20
DC Vs MI,MI,Nuwan Thushara,4,0,56,0,14.00,3,6,3,2,0,T20I #20
DC Vs MI,MI,Piyush Chawla,4,0,36,1,9.00,7,2,2,2,0,T20I #20
DC Vs MI,MI,Hardik Pandya,2,0,41,0,20.50,4,3,4,0,0,T20I #20
DC Vs MI,MI,Mohammad Nabi,2,0,20,1,10.00,2,0,2,0,0,T20I #20
DC Vs MI,DC,Lizaad Williams,3,0,34,0,11.33,6,4,0,3,1,T20I #20
DC Vs MI,DC,Khaleel Ahmed,4,0,45,2,11.25,7,4,3,0,0,T20I #20
DC Vs MI,DC,Mukesh Kumar,4,0,59,3,14.75,6,5,5,0,0,T20I #20
DC Vs MI,DC,Kuldeep Yadav,3,0,47,0,15.66,2,5,3,1,0,T20I #20
DC Vs MI,DC,Axar Patel,2,0,24,0,12.00,1,1,2,0,0,T20I #20
DC Vs MI,DC,Rasikh Salam,4,0,34,3,8.50,8,1,2,3,0,T20I #20
LSG Vs SRH,SRH,Bhuvneshwar Kumar,4,0,12,2,3.00,12,0,0,0,0,T20I #57
LSG Vs SRH,SRH,Pat Cummins,4,0,47,1,11.75,5,6,1,0,0,T20I #57
LSG Vs SRH,SRH,Shahbaz Ahmed,2,0,9,0,4.50,4,0,0,0,0,T20I #57
LSG Vs SRH,SRH,Vijayakanth Viyaskanth,4,0,27,0,6.75,8,2,1,0,0,T20I #57
LSG Vs SRH,SRH,Jaydev Unadkat,2,0,19,0,9.50,4,0,2,0,0,T20I #57
LSG Vs SRH,SRH,T Natarajan,4,0,50,0,12.50,4,8,0,3,0,T20I #57
LSG Vs SRH,LSG,Krishnappa Gowtham,2,0,29,0,14.50,5,2,3,1,0,T20I #57
LSG Vs SRH,LSG,Yash Thakur,2.4,0,47,0,17.62,4,6,3,1,0,T20I #57
LSG Vs SRH,LSG,Ravi Bishnoi,2,0,34,0,17.00,4,2,4,0,0,T20I #57
LSG Vs SRH,LSG,Naveen-ul-Haq,2,0,37,0,18.50,1,5,2,0,0,T20I #57
LSG Vs SRH,LSG,Ayush Badoni,1,0,19,0,19.00,0,1,2,0,0,T20I #57
KKR Vs PBKS,PBKS,Sam Curran,4,0,60,1,15.00,6,5,5,0,0,T20I #42
KKR Vs PBKS,PBKS,Arshdeep Singh,4,0,45,2,11.25,10,3,3,5,0,T20I #42
KKR Vs PBKS,PBKS,Harshal Patel,3,0,48,1,16.00,6,3,5,1,1,T20I #42
KKR Vs PBKS,PBKS,Kagiso Rabada,3,0,52,0,17.33,2,7,2,4,0,T20I #42
KKR Vs PBKS,PBKS,Rahul Chahar,4,0,33,1,8.25,9,4,1,0,0,T20I #42
KKR Vs PBKS,PBKS,Harpreet Brar,2,0,21,0,10.50,3,0,2,0,0,T20I #42
KKR Vs PBKS,KKR,Dushmantha Chameera,3,0,48,0,16.00,6,3,5,1,0,T20I #42
KKR Vs PBKS,KKR,Harshit Rana,4,0,61,0,15.25,5,3,6,1,0,T20I #42
KKR Vs PBKS,KKR,Anukul Roy,2,0,36,0,18.00,2,5,2,0,0,T20I #42
KKR Vs PBKS,KKR,Sunil Narine,4,0,24,1,6.00,12,2,1,0,0,T20I #42
KKR Vs PBKS,KKR,Varun Chakravarthy,3,0,46,0,15.33,2,1,5,0,0,T20I #42
KKR Vs PBKS,KKR,Andre Russell,2,0,36,0,18.00,2,1,4,2,0,T20I #42
KKR Vs PBKS,KKR,Ramandeep Singh,0.4,0,9,0,13.50,0,0,1,0,0,T20I #42
KKR Vs RCB,RCB,Mohammed Siraj,4,0,40,1,10.00,13,4,3,2,0,T20I #10
KKR Vs RCB,RCB,Yash Dayal,4,0,56,2,14.00,7,9,1,3,1,T20I #10
KKR Vs RCB,RCB,Lockie Ferguson,4,0,47,1,11.75,3,5,2,0,1,T20I #10
KKR Vs RCB,RCB,Karn Sharma,4,0,33,0,8.25,7,3,1,0,0,T20I #10
KKR Vs RCB,RCB,Cameron Green,4,0,35,2,8.75,9,6,0,2,0,T20I #10
KKR Vs RCB,KKR,Harshit Rana,4,0,33,2,8.25,9,2,2,1,0,T20I #10
KKR Vs RCB,KKR,Mitchell Starc,3,0,55,1,18.33,6,2,7,1,0,T20I #10
KKR Vs RCB,KKR,Varun Chakravarthy,4,0,36,1,9.00,11,5,1,0,0,T20I #10
KKR Vs RCB,KKR,Sunil Narine,4,0,34,2,8.50,11,2,3,0,0,T20I #10
KKR Vs RCB,KKR,Suyash Sharma,2,0,33,0,16.50,2,2,3,1,0,T20I #10
KKR Vs RCB,KKR,Andre Russell,3,0,25,3,8.33,10,3,1,1,0,T20I #10
SRH Vs RCB,RCB,Will Jacks,3,0,32,0,10.66,5,2,2,1,0,T20I #30
SRH Vs RCB,RCB,Reece Topley,4,0,68,1,17.00,3,6,5,2,0,T20I #30
SRH Vs RCB,RCB,Yash Dayal,4,0,51,0,12.75,5,3,3,3,1,T20I #30
SRH Vs RCB,RCB,Lockie Ferguson,4,0,52,2,13.00,8,2,6,0,0,T20I #30
SRH Vs RCB,RCB,Vijaykumar Vyshak,4,0,64,0,16.00,2,6,4,2,0,T20I #30
SRH Vs RCB,RCB,Mahipal Lomror,1,0,18,0,18.00,1,0,2,3,0,T20I #30
SRH Vs RCB,SRH,Abhishek Sharma,1,0,10,0,10.00,2,2,0,0,0,T20I #30
SRH Vs RCB,SRH,Bhuvneshwar Kumar,4,0,60,0,15.00,5,9,2,4,0,T20I #30
SRH Vs RCB,SRH,Shahbaz Ahmed,1,0,18,0,18.00,1,1,2,0,0,T20I #30
SRH Vs RCB,SRH,T Natarajan,4,0,47,1,11.75,6,2,3,4,0,T20I #30
SRH Vs RCB,SRH,Pat Cummins,4,0,43,3,10.75,10,4,3,1,0,T20I #30
SRH Vs RCB,SRH,Mayank Markande,4,0,46,2,11.50,5,1,4,3,0,T20I #30
SRH Vs RCB,SRH,Jaydev Unadkat,2,0,37,0,18.50,1,5,2,1,0,T20I #30
LSG Vs MI,MI,Nuwan Thushara,4,0,28,3,7.00,11,4,0,2,0,T20I #48
LSG Vs MI,MI,Arjun Tendulkar,2.2,0,22,0,9.42,7,1,2,1,0,T20I #48
LSG Vs MI,MI,Anshul Kamboj,3,0,48,0,16.00,4,5,3,4,0,T20I #48
LSG Vs MI,MI,Piyush Chawla,4,0,29,3,7.25,10,0,3,0,0,T20I #48
LSG Vs MI,MI,Nehal Wadhera,2,0,13,0,6.50,2,1,0,0,0,T20I #48
LSG Vs MI,MI,Hardik Pandya,2,0,27,0,13.50,1,1,2,0,0,T20I #48
LSG Vs MI,MI,Naman Dhir,0.4,0,17,0,25.50,0,1,2,0,0,T20I #48
LSG Vs MI,MI,Romario Shepherd,2,0,30,0,15.00,5,3,2,3,0,T20I #48
LSG Vs MI,LSG,Arshad Khan,2,0,11,0,5.50,7,1,0,2,0,T20I #48
LSG Vs MI,LSG,Matt Henry,2,0,24,0,12.00,4,1,2,2,0,T20I #48
LSG Vs MI,LSG,Krunal Pandya,4,0,29,1,7.25,10,1,2,1,0,T20I #48
LSG Vs MI,LSG,Mohsin Khan,4,0,45,1,11.25,9,4,3,2,0,T20I #48
LSG Vs MI,LSG,Naveen-ul-Haq,4,0,50,2,12.50,8,5,3,1,1,T20I #48
LSG Vs MI,LSG,Ravi Bishnoi,4,0,37,2,9.25,9,5,1,0,0,T20I #48
RR Vs DC,DC,Khaleel Ahmed,4,0,24,1,6.00,14,2,1,2,0,T20I #9
RR Vs DC,DC,Mukesh Kumar,4,0,49,1,12.25,8,7,2,1,0,T20I #9
RR Vs DC,DC,Anrich Nortje,4,0,48,1,12.00,8,4,4,0,0,T20I #9
RR Vs DC,DC,Axar Patel,4,0,21,1,5.25,6,1,0,0,0,T20I #9
RR Vs DC,DC,Kuldeep Yadav,4,0,41,1,10.25,5,1,3,2,0,T20I #9
RR Vs DC,RR,Trent Boult,3,0,29,0,9.66,8,3,2,0,0,T20I #9
RR Vs DC,RR,Nandre Burger,3,0,29,2,9.66,9,5,1,0,0,T20I #9
RR Vs DC,RR,Ravichandran Ashwin,3,0,30,0,10.00,4,1,2,1,0,T20I #9
RR Vs DC,RR,Avesh Khan,4,0,29,1,7.25,8,4,0,1,0,T20I #9
RR Vs DC,RR,Yuzvendra Chahal,3,0,19,2,6.33,7,0,1,0,0,T20I #9
RR Vs DC,RR,Sandeep Sharma,4,0,36,0,9.00,3,2,1,2,0,T20I #9
SRH Vs KKR,KKR,Mitchell Starc,3,0,14,2,4.66,11,2,0,0,0,T20I #3
SRH Vs KKR,KKR,Vaibhav Arora,3,0,24,1,8.00,9,2,1,4,0,T20I #3
SRH Vs KKR,KKR,Harshit Rana,4,1,24,2,6.00,13,2,1,1,0,T20I #3
SRH Vs KKR,KKR,Sunil Narine,4,0,16,1,4.00,9,0,0,0,0,T20I #3
SRH Vs KKR,KKR,Andre Russell,2.3,0,19,3,7.60,7,1,1,1,0,T20I #3
SRH Vs KKR,KKR,Varun Chakravarthy,2,0,9,1,4.50,7,1,0,0,0,T20I #3
SRH Vs KKR,SRH,Bhuvneshwar Kumar,2,0,25,0,12.50,5,2,2,1,0,T20I #3
SRH Vs KKR,SRH,Pat Cummins,2,0,18,1,9.00,7,2,1,1,0,T20I #3
SRH Vs KKR,SRH,T Natarajan,2,0,29,0,14.50,2,4,1,2,0,T20I #3
SRH Vs KKR,SRH,Shahbaz Ahmed,2.3,0,22,1,8.80,7,1,2,0,0,T20I #3
SRH Vs KKR,SRH,Jaydev Unadkat,1,0,9,0,9.00,1,1,0,0,0,T20I #3
SRH Vs KKR,SRH,Aiden Markram,1,0,5,0,5.00,2,0,0,0,0,T20I #3
GT Vs RCB,RCB,Swapnil Singh,3,0,23,1,7.66,5,3,0,0,0,T20I #45
GT Vs RCB,RCB,Mohammed Siraj,4,0,34,1,8.50,9,3,1,4,0,T20I #45
GT Vs RCB,RCB,Yash Dayal,4,0,34,0,8.50,9,2,1,3,1,T20I #45
GT Vs RCB,RCB,Glenn Maxwell,3,0,28,1,9.33,5,1,2,0,0,T20I #45
GT Vs RCB,RCB,Karn Sharma,3,0,38,0,12.66,4,1,4,1,0,T20I #45
GT Vs RCB,RCB,Cameron Green,3,0,42,0,14.00,2,5,2,1,0,T20I #45
GT Vs RCB,GT,Azmatullah Omarzai,2,0,18,0,9.00,7,1,2,0,0,T20I #45
GT Vs RCB,GT,Sandeep Warrier,1,0,15,0,15.00,1,1,1,2,0,T20I #45
GT Vs RCB,GT,Sai Kishore,3,0,30,1,10.00,4,0,3,0,0,T20I #45
GT Vs RCB,GT,Rashid Khan,4,0,51,0,12.75,4,3,4,0,0,T20I #45
GT Vs RCB,GT,Noor Ahmad,4,0,43,0,10.75,6,4,2,1,0,T20I #45
GT Vs RCB,GT,Mohit Sharma,2,0,41,0,20.50,3,3,4,0,1,T20I #45
PBKS Vs GT,GT,Azmatullah Omarzai,2,0,13,0,6.50,7,1,1,0,0,T20I #17
PBKS Vs GT,GT,Sandeep Warrier,1,0,21,0,21.00,2,3,1,0,1,T20I #17
PBKS Vs GT,GT,Mohit Sharma,4,0,32,2,8.00,10,4,1,1,0,T20I #17
PBKS Vs GT,GT,Rashid Khan,4,0,15,1,3.75,11,0,0,0,0,T20I #17
PBKS Vs GT,GT,Noor Ahmad,4,0,20,2,5.00,10,2,0,0,0,T20I #17
PBKS Vs GT,GT,Sai Kishore,4,0,33,4,8.25,11,2,2,1,0,T20I #17
PBKS Vs GT,GT,M Shahrukh Khan,1,0,7,0,7.00,1,0,0,0,0,T20I #17
PBKS Vs GT,PBKS,Kagiso Rabada,4,0,40,0,10.00,8,6,1,0,0,T20I #17
PBKS Vs GT,PBKS,Arshdeep Singh,2.1,0,17,1,7.84,3,2,0,0,0,T20I #17
PBKS Vs GT,PBKS,Harshal Patel,3,0,15,3,5.00,8,1,0,0,0,T20I #17
PBKS Vs GT,PBKS,Sam Curran,2,0,18,1,9.00,4,3,0,0,0,T20I #17
PBKS Vs GT,PBKS,Harpreet Brar,4,0,35,0,8.75,7,3,1,0,0,T20I #17
PBKS Vs GT,PBKS,Liam Livingstone,4,0,19,2,4.75,9,1,0,1,0,T20I #17
SRH Vs MI,MI,Nuwan Thushara,4,0,42,0,10.50,7,3,1,3,1,T20I #8
SRH Vs MI,MI,Anshul Kamboj,4,0,42,1,10.50,9,3,2,1,2,T20I #8
SRH Vs MI,MI,Jasprit Bumrah,4,0,23,1,5.75,9,2,0,1,0,T20I #8
SRH Vs MI,MI,Hardik Pandya,4,0,31,3,7.75,7,4,0,1,0,T20I #8
SRH Vs MI,MI,Piyush Chawla,4,0,33,3,8.25,7,1,2,2,0,T20I #8
SRH Vs MI,SRH,Bhuvneshwar Kumar,4,1,22,1,5.50,17,3,1,1,0,T20I #8
SRH Vs MI,SRH,Marco Jansen,3,0,45,1,15.00,5,5,2,2,0,T20I #8
SRH Vs MI,SRH,Pat Cummins,4,1,35,1,8.75,12,4,2,1,0,T20I #8
SRH Vs MI,SRH,T Natarajan,3.2,0,31,0,9.30,8,4,1,0,0,T20I #8
SRH Vs MI,SRH,Nitish Kumar Reddy,2,0,16,0,8.00,5,3,0,0,0,T20I #8
SRH Vs MI,SRH,Shahbaz Ahmed,1,0,11,0,11.00,1,2,0,0,0,T20I #8
RR Vs PBKS,PBKS,Sam Curran,3,0,24,2,8.00,11,4,1,0,0,T20I #27
RR Vs PBKS,PBKS,Arshdeep Singh,4,0,31,1,7.75,12,6,0,0,0,T20I #27
RR Vs PBKS,PBKS,Nathan Ellis,4,0,24,1,6.00,10,3,0,0,0,T20I #27
RR Vs PBKS,PBKS,Harshal Patel,4,0,28,2,7.00,8,2,0,1,0,T20I #27
RR Vs PBKS,PBKS,Rahul Chahar,4,0,26,2,6.50,9,2,1,0,0,T20I #27
RR Vs PBKS,PBKS,Harpreet Brar,1,0,10,0,10.00,1,1,0,0,0,T20I #27
RR Vs PBKS,RR,Trent Boult,3,0,27,1,9.00,7,5,0,0,0,T20I #27
RR Vs PBKS,RR,Sandeep Sharma,4,0,28,0,7.00,11,3,1,0,0,T20I #27
RR Vs PBKS,RR,Avesh Khan,3.5,0,28,2,7.30,9,1,2,0,0,T20I #27
RR Vs PBKS,RR,Ravichandran Ashwin,4,0,31,0,7.75,11,1,3,0,0,T20I #27
RR Vs PBKS,RR,Yuzvendra Chahal,4,0,31,2,7.75,5,3,0,1,0,T20I #27
GT Vs DC,DC,Khaleel Ahmed,4,1,18,1,4.50,16,3,0,1,0,T20I #32
GT Vs DC,DC,Ishant Sharma,2,0,8,2,4.00,9,1,0,1,0,T20I #32
GT Vs DC,DC,Mukesh Kumar,2.3,0,14,3,5.60,9,1,0,1,2,T20I #32
GT Vs DC,DC,Kuldeep Yadav,4,0,16,0,4.00,13,0,1,0,0,T20I #32
GT Vs DC,DC,Tristan Stubbs,1,0,11,2,11.00,3,2,0,1,0,T20I #32
GT Vs DC,DC,Axar Patel,4,0,17,1,4.25,13,1,0,1,0,T20I #32
GT Vs DC,GT,Sandeep Warrier,3,0,40,2,13.33,8,3,4,0,0,T20I #32
GT Vs DC,GT,Spencer Johnson,2,0,22,1,11.00,6,3,1,2,0,T20I #32
GT Vs DC,GT,Rashid Khan,2,0,12,1,6.00,6,0,1,0,0,T20I #32
GT Vs DC,GT,Noor Ahmad,1.5,0,14,0,7.63,6,3,0,0,0,T20I #32
SRH Vs DC,DC,Khaleel Ahmed,3,0,51,0,17.00,4,4,5,0,0,T20I #35
SRH Vs DC,DC,Lalit Yadav,2,0,41,0,20.50,2,2,5,0,0,T20I #35
SRH Vs DC,DC,Anrich Nortje,3,0,31,0,10.33,6,4,1,1,0,T20I #35
SRH Vs DC,DC,Kuldeep Yadav,4,0,55,4,13.75,8,0,7,2,0,T20I #35
SRH Vs DC,DC,Mukesh Kumar,4,0,57,1,14.25,4,7,3,0,0,T20I #35
SRH Vs DC,DC,Axar Patel,4,0,29,1,7.25,4,1,1,0,0,T20I #35
SRH Vs DC,SRH,Washington Sundar,2,0,46,1,23.00,2,7,3,0,0,T20I #35
SRH Vs DC,SRH,Bhuvneshwar Kumar,4,0,33,1,8.25,10,5,0,3,0,T20I #35
SRH Vs DC,SRH,Pat Cummins,4,0,35,0,8.75,9,5,1,0,0,T20I #35
SRH Vs DC,SRH,T Natarajan,4,1,19,4,4.75,14,2,0,1,0,T20I #35
SRH Vs DC,SRH,Mayank Markande,2,0,26,2,13.00,3,0,3,2,0,T20I #35
SRH Vs DC,SRH,Shahbaz Ahmed,1,0,22,0,22.00,0,3,1,0,0,T20I #35
SRH Vs DC,SRH,Nitish Kumar Reddy,2.1,0,17,2,7.84,3,0,1,1,0,T20I #35
SRH Vs GT,GT,Azmatullah Omarzai,3,0,24,1,8.00,9,4,0,1,0,T20I #12
SRH Vs GT,GT,Umesh Yadav,3,0,28,1,9.33,8,5,0,0,0,T20I #12
SRH Vs GT,GT,Rashid Khan,4,0,33,1,8.25,7,1,2,0,0,T20I #12
SRH Vs GT,GT,Noor Ahmad,4,0,32,1,8.00,10,2,2,0,0,T20I #12
SRH Vs GT,GT,Mohit Sharma,4,0,25,3,6.25,6,0,1,0,0,T20I #12
SRH Vs GT,GT,Darshan Nalkande,2,0,18,0,9.00,2,0,1,1,0,T20I #12
SRH Vs GT,SRH,Bhuvneshwar Kumar,4,0,27,0,6.75,9,3,0,1,0,T20I #12
SRH Vs GT,SRH,Shahbaz Ahmed,2,0,20,1,10.00,2,0,2,0,0,T20I #12
SRH Vs GT,SRH,Jaydev Unadkat,3.1,0,33,0,10.42,5,3,2,0,0,T20I #12
SRH Vs GT,SRH,Washington Sundar,3,0,27,0,9.00,1,2,0,0,0,T20I #12
SRH Vs GT,SRH,Mayank Markande,3,0,33,1,11.00,4,2,2,2,0,T20I #12
SRH Vs GT,SRH,Pat Cummins,4,0,28,1,7.00,7,3,0,1,0,T20I #12
KKR Vs LSG,LSG,Marcus Stoinis,2,0,29,0,14.50,4,2,3,0,0,T20I #28
KKR Vs LSG,LSG,Mohsin Khan,2,0,28,0,14.00,4,3,2,1,0,T20I #28
KKR Vs LSG,LSG,Naveen-ul-Haq,4,0,49,3,12.25,7,9,0,1,0,T20I #28
KKR Vs LSG,LSG,Yash Thakur,4,0,46,1,11.50,7,3,3,3,0,T20I #28
KKR Vs LSG,LSG,Krunal Pandya,2,0,26,0,13.00,2,0,2,2,0,T20I #28
KKR Vs LSG,LSG,Ravi Bishnoi,4,0,33,1,8.25,8,3,1,2,0,T20I #28
KKR Vs LSG,LSG,Yudhvir Singh,2,0,24,1,12.00,2,1,2,0,0,T20I #28
KKR Vs LSG,KKR,Vaibhav Arora,2,0,21,0,10.50,4,2,1,1,0,T20I #28
KKR Vs LSG,KKR,Mitchell Starc,2,0,22,1,11.00,5,5,0,0,0,T20I #28
KKR Vs LSG,KKR,Sunil Narine,4,0,22,1,5.50,8,1,0,1,0,T20I #28
KKR Vs LSG,KKR,Harshit Rana,3.1,0,24,3,7.57,8,2,1,1,0,T20I #28
KKR Vs LSG,KKR,Varun Chakravarthy,3,0,30,3,10.00,8,0,4,0,0,T20I #28
KKR Vs LSG,KKR,Andre Russell,2,0,17,2,8.50,4,0,1,3,0,T20I #28
DC Vs LSG,LSG,Arshad Khan,3,0,45,1,15.00,5,5,2,5,0,T20I #26
DC Vs LSG,LSG,Mohsin Khan,4,0,29,0,7.25,11,2,2,0,0,T20I #26
DC Vs LSG,LSG,Yudhvir Singh,2,0,28,0,14.00,3,3,1,0,0,T20I #26
DC Vs LSG,LSG,Naveen-ul-Haq,4,0,51,2,12.75,6,3,4,1,0,T20I #26
DC Vs LSG,LSG,Ravi Bishnoi,4,0,26,1,6.50,9,1,1,0,0,T20I #26
DC Vs LSG,LSG,Krunal Pandya,2,0,20,0,10.00,3,3,0,1,0,T20I #26
DC Vs LSG,LSG,Deepak Hooda,1,0,9,0,9.00,1,1,0,1,0,T20I #26
DC Vs LSG,DC,Ishant Sharma,4,0,34,3,8.50,10,4,1,2,0,T20I #26
DC Vs LSG,DC,Khaleel Ahmed,2,0,22,1,11.00,7,2,2,1,0,T20I #26
DC Vs LSG,DC,Axar Patel,1,0,20,1,20.00,2,2,2,0,0,T20I #26
DC Vs LSG,DC,Mukesh Kumar,4,0,33,1,8.25,9,3,1,2,0,T20I #26
DC Vs LSG,DC,Kuldeep Yadav,4,0,33,1,8.25,9,2,2,0,0,T20I #26
DC Vs LSG,DC,Tristan Stubbs,1,0,4,1,4.00,3,0,0,0,0,T20I #26
DC Vs LSG,DC,Gulbadin Naib,1,0,12,0,12.00,1,2,0,0,0,T20I #26
DC Vs LSG,DC,Rasikh Salam,3,0,30,0,10.00,5,1,2,0,0,T20I #26
MI Vs PBKS,PBKS,Liam Livingstone,2,0,16,0,8.00,4,1,1,0,0,T20I #33
MI Vs PBKS,PBKS,Arshdeep Singh,3,0,35,0,11.66,4,5,1,1,0,T20I #33
MI Vs PBKS,PBKS,Kagiso Rabada,4,0,42,1,10.50,7,3,3,0,0,T20I #33
