team1,team2,winner,margin,ground,matchDate,match_id
KKR,SRH,KKR,8 wickets,Chennai,"May 26, 2024",T20I #72
RR,SRH,SRH,36 runs,Chennai,"May 24, 2024",T20I #71
RR,RCB,RR,4 wickets,Ahmedabad,"May 22, 2024",T20I #70
KKR,SRH,KKR,8 wickets,Ahmedabad,"May 21, 2024",T20I #69
RR,KKR,no result,-,Guwahati,"May 19, 2024",T20I #68
SRH,Punjab Kings,SRH,4 wickets,Hyderabad,"May 19, 2024",T20I #67
RCB,CSK,RCB,27 runs,Bengaluru,"May 18, 2024",T20I #66
MI,LSG,LSG,18 runs,Wankhede,"May 17, 2024",T20I #65
RR,Punjab Kings,Punjab Kings,5 wickets,Guwahati,"May 15, 2024",T20I #64
DC,LSG,DC,19 runs,Delhi,"May 14, 2024",T20I #63
RCB,DC,RCB,47 runs,Bengaluru,"May 12, 2024",T20I #62
CSK,RR,CSK,5 wickets,Chennai,"May 12, 2024",T20I #61
KKR,MI,KKR,18 runs,Eden Gardens,"May 11, 2024",T20I #60
GT,CSK,GT,35 runs,Ahmedabad,"May 10, 2024",T20I #59
Punjab Kings,RCB,RCB,60 runs,Dharamsala,"May 9, 2024",T20I #58
SRH,LSG,SRH,10 wickets,Hyderabad,"May 8, 2024",T20I #57
DC,RR,DC,20 runs,Delhi,"May 7, 2024",T20I #56
MI,SRH,MI,7 wickets,Wankhede,"May 6, 2024",T20I #55
LSG,KKR,KKR,98 runs,Lucknow,"May 5, 2024",T20I #54
Punjab Kings,CSK,CSK,28 runs,Dharamsala,"May 5, 2024",T20I #53
RCB,GT,RCB,4 wickets,Bengaluru,"May 4, 2024",T20I #52
MI,KKR,KKR,24 runs,Wankhede,"May 3, 2024",T20I #51
SRH,RR,SRH,1 run,Hyderabad,"May 2, 2024",T20I #50
CSK,Punjab Kings,Punjab Kings,7 wickets,Chennai,"May 1, 2024",T20I #49
LSG,MI,LSG,4 wickets,Lucknow,"Apr 30, 2024",T20I #48
KKR,DC,KKR,7 wickets,Eden Gardens,"Apr 29, 2024",T20I #47
CSK,SRH,CSK,78 runs,Chennai,"Apr 28, 2024",T20I #46
GT,RCB,RCB,9 wickets,Ahmedabad,"Apr 28, 2024",T20I #45
LSG,RR,RR,7 wickets,Lucknow,"Apr 27, 2024",T20I #44
DC,MI,DC,10 runs,Delhi,"Apr 27, 2024",T20I #43
KKR,Punjab Kings,Punjab Kings,8 wickets,Eden Gardens,"Apr 26, 2024",T20I #42
SRH,RCB,RCB,35 runs,Hyderabad,"Apr 25, 2024",T20I #41
