name,team,battingStyle,bowlingStyle,playingRole,image,description
Faf du Plessis(c),RCB,Right hand Bat,Legbreak,Middle order Batter,https://www.khelspace.com/cdn/shop/articles/94.png?v=1691129695,
Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/156.png ,
Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/156.png ,
Rajat Patidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/597.png,
Harshit Rana,KKR,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/1013.png ,"A fast bowler from Delhi, Harshit Rana is among the modern breed of players who made their IPL debut before their senior domestic debut. In his case, it was thanks to Kolkata Knight Riders' scouting system. With height, pace, hit-the-deck skills and clever variations to his credit, Harshit was fast-tracked into the India squad in July 2024, after having won the IPL with KKR."
Anukul Roy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://d1k8sn41pix00a.cloudfront.net/media/players/photos/anukul_roy.jpg ,
Venkatesh Iyer,KKR,Left hand Bat,Right arm Medium,Allrounder,https://www.kkr.in/static-assets/images/players/65430.png?v=111.75 ,"A loose-limbed and tall pace-bowling allrounder, Venkatesh Iyer was briefly a much sought-after player in white-ball cricket for India. He had shone with both and ball as India searched for Hardik Pandya's back-up in the lead-up to the 2021 and 2022 T20 World Cups."
Virat Kohli,RCB,Right hand Bat,Right arm Medium,Top order Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/2.png,
Alzarri Joseph,RCB,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/229.png,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Anuj Rawat,RCB,Left hand Bat,,Wicketkeeper Batter,https://ipltable.in/wp-content/uploads/2024/03/image-88-700x700.jpeg ,
Andre Russell,KKR,Right hand Bat,Right arm Fast,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/141.png,
Phil Salt,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://www.kkr.in/static-assets/images/players/65632.png?v=111.75,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Glenn Maxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2022/282.png,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click. "
Vijaykumar Vyshak,RCB,Right hand Bat,Right arm Medium,Bowler,https://cricclubs.com/documentsRep/profilePics/f4f92f75-6680-45f5-8a0e-183283638dd0.jpeg,
Mitchell Starc,KKR,Left hand Bat,Left arm Fast,Bowler,https://www.kkr.in/static-assets/images/players/10053.png?v=111.75,
Varun Chakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler,https://www.kkr.in/static-assets/images/players/67469.png?v=111.75,
Shreyas Iyer(c),KKR,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,https://www.kkr.in/static-assets/images/players/63961.png?v=111.75,
Cameron Green,RCB,Right hand Bat,Right arm Fast medium,Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/550.png,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
