name,team,battingStyle,bowlingStyle,playingRole,description
Faf du Plessis(c),RCB,Right hand Bat,Legbreak,Middle order Batter,
Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,
Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,
Rajat Patidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter,
Harshit Rana,KKR,Right hand Bat,Right arm Fast,Bowler,"A fast bowler from Delhi, Harshit Rana is among the modern breed of players who made their IPL debut before their senior domestic debut. In his case, it was thanks to Kolkata Knight Riders' scouting system. With height, pace, hit-the-deck skills and clever variations to his credit, Harshit was fast-tracked into the India squad in July 2024, after having won the IPL with KKR."
Anukul Roy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Venkatesh Iyer,KKR,Left hand Bat,Right arm Medium,Allrounder,"A loose-limbed and tall pace-bowling allrounder, Venkatesh Iyer was briefly a much sought-after player in white-ball cricket for India. He had shone with both and ball as India searched for Hardik Pandya's back-up in the lead-up to the 2021 and 2022 T20 World Cups."
Virat Kohli,RCB,Right hand Bat,Right arm Medium,Top order Batter,
Alzarri Joseph,RCB,Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Anuj Rawat,RCB,Left hand Bat,,Wicketkeeper Batter,
Andre Russell,KKR,Right hand Bat,Right arm Fast,Allrounder,
Phil Salt,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Glenn Maxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click. "
Vijaykumar Vyshak,RCB,Right hand Bat,Right arm Medium,Bowler,
Mitchell Starc,KKR,Left hand Bat,Left arm Fast,Bowler,
Varun Chakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler,
Shreyas Iyer(c),KKR,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Cameron Green,RCB,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Dinesh Karthik,RCB,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. "
Mayank Dagar,RCB,Right hand Bat,Slow Left arm Orthodox,Bowler,
Mohammed Siraj,RCB,Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. "
Rinku Singh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter,"A middle-order batter and an excellent outfielder, Rinku Singh stunned everyone when he hit Yash Dayal for five consecutive sixes with Kolkata Knight Riders needing 28 from five balls against Gujarat Titans in IPL 2023."
Yash Dayal,RCB,Right hand Bat,Left arm Medium fast,Bowler,
Cameron Green,RCB,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. "
Sam Curran(c),PBKS,Left hand Bat,Left arm Medium fast,Allrounder,
Sai Kishore,GT,Left hand Bat,Slow Left arm Orthodox,Bowler,
Harshal Patel,PBKS,Right hand Bat,Right arm Medium,Bowler,
Prabhsimran Singh,PBKS,Right hand Bat,,Wicketkeeper Batter,
M Shahrukh Khan,GT,Right hand Bat,Right arm Offbreak,Batter,
Jitesh Sharma,PBKS,Right hand Bat,,Wicketkeeper Batter,
Shashank Singh,PBKS,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,"Shashank Singh, a right-hand batter and right-arm offspinner, shot into the limelight after hitting an unbeaten 29-ball 61 for Punjab Kings against Gujarat Titans in IPL 2024."
Wriddhiman Saha,GT,Right hand Bat,,Wicketkeeper Batter,
